"NOMBRES M�S POPULARES DE MUJER, 2020",,,,,,"NOMBRES M�S POPULARES DE HOMBRE, 2020",,,
257,ANA LAURA,MUJER,249,,,257,AXEL DANIEL,HOMBRE,351
258,CITLALI,MUJER,249,,,258,FELIPE,HOMBRE,351
259,LEILANI,MUJER,249,,,259,GIOVANNI,HOMBRE,348
260,CRISTAL,MUJER,248,,,260,IKER MATEO,HOMBRE,348
261,VANIA,MUJER,247,,,261,JAIME,HOMBRE,345
262,FATIMA GUADALUPE,MUJER,246,,,262,ABEL,HOMBRE,344
263,LUZ ELENA,MUJER,246,,,263,DYLAN TADEO,HOMBRE,343
264,MARIA LUISA,MUJER,246,,,264,JOSE FERNANDO,HOMBRE,343
265,WENDY,MUJER,246,,,265,ISAI,HOMBRE,342
266,RUBI,MUJER,245,,,266,GAEL ALEXANDER,HOMBRE,340
267,LESLY,MUJER,243,,,267,ANGEL MANUEL,HOMBRE,339
268,MARIAN,MUJER,243,,,268,ALDO,HOMBRE,335
269,VALENTINA GUADALUPE,MUJER,241,,,269,JUAN ANGEL,HOMBRE,335
270,LIA ISABELLA,MUJER,240,,,270,JAZIEL,HOMBRE,334
271,LESLIE,MUJER,238,,,271,JOSE JUAN,HOMBRE,333
272,MARIA INES,MUJER,238,,,272,MATEO ALEJANDRO,HOMBRE,333
273,SOFIA YAMILETH,MUJER,238,,,273,LEONARDO DANIEL,HOMBRE,331
274,KARIME,MUJER,237,,,274,GAEL ALEJANDRO,HOMBRE,329
275,ALEXA VALENTINA,MUJER,235,,,275,JUAN DAVID,HOMBRE,326
276,MARIELA,MUJER,235,,,276,CARLOS MATEO,HOMBRE,325
277,LUNA,MUJER,234,,,277,CARLOS SANTIAGO,HOMBRE,325
278,MARTHA,MUJER,231,,,278,ANGEL ANTONIO,HOMBRE,324
279,SUSANA,MUJER,231,,,279,ELISEO,HOMBRE,324
280,MARLEN,MUJER,230,,,280,JESUS GABRIEL,HOMBRE,320
281,YAMILETH GUADALUPE,MUJER,230,,,281,DYLAN SANTIAGO,HOMBRE,319
282,ANA,MUJER,228,,,282,DAVID ALEJANDRO,HOMBRE,317
283,PAULETTE,MUJER,228,,,283,CARLOS MANUEL,HOMBRE,315
284,KENDRA,MUJER,227,,,284,ERIK,HOMBRE,314
285,AMAIRANY,MUJER,226,,,285,OCTAVIO,HOMBRE,314
286,MARINA,MUJER,225,,,286,ROMAN,HOMBRE,311
287,EMMA VALENTINA,MUJER,224,,,287,JOSE PABLO,HOMBRE,308
288,ITZEL GUADALUPE,MUJER,222,,,288,ETHAN,HOMBRE,304
289,LEAH,MUJER,221,,,289,JOSE EMILIO,HOMBRE,303
290,XIOMARA,MUJER,221,,,290,JOSE EMMANUEL,HOMBRE,302
291,INES,MUJER,218,,,291,DANIEL ALEXANDER,HOMBRE,300
292,AMAIRANI,MUJER,216,,,292,CARLOS ANTONIO,HOMBRE,299
293,PATRICIA,MUJER,216,,,293,ELIEL,HOMBRE,299
294,MARITZA,MUJER,215,,,294,VICENTE,HOMBRE,299
295,SARAH,MUJER,215,,,295,LUIS GERARDO,HOMBRE,295
296,EVA,MUJER,214,,,296,ORLANDO,HOMBRE,294
297,LIA AITANA,MUJER,213,,,297,DIEGO ARMANDO,HOMBRE,292
298,HANNAH,MUJER,212,,,298,MATEO DE JESUS,HOMBRE,287
299,JACQUELINE,MUJER,212,,,299,MATHIAS,HOMBRE,287
300,YARITZA,MUJER,210,,,300,JOHAN,HOMBRE,286
301,ALINA,MUJER,209,,,301,JOSE ADRIAN,HOMBRE,285
302,MARCELA,MUJER,209,,,302,JOSE LEONARDO,HOMBRE,285
303,FERNANDA GUADALUPE,MUJER,208,,,303,MAURO,HOMBRE,284
304,FERNANDA SOFIA,MUJER,208,,,304,SANTIAGO GAEL,HOMBRE,284
305,MAGALI,MUJER,208,,,305,ANGEL ALEXANDER,HOMBRE,283
306,LAURA,MUJER,207,,,306,ARIEL,HOMBRE,282
307,ANDREA SOFIA,MUJER,206,,,307,IGNACIO,HOMBRE,282
308,ANTONIA,MUJER,206,,,308,MARIO ALBERTO,HOMBRE,282
309,LETICIA,MUJER,206,,,309,EVAN,HOMBRE,281
310,PAMELA,MUJER,206,,,310,LIAM ALEJANDRO,HOMBRE,280
311,AYLIN GUADALUPE,MUJER,205,,,311,ALAN MATEO,HOMBRE,276
312,LUNA SOFIA,MUJER,205,,,312,DARIEL,HOMBRE,276
313,MELINA,MUJER,205,,,313,JOSE ALEXANDER,HOMBRE,275
314,YOLANDA,MUJER,205,,,314,JUAN LUIS,HOMBRE,275
315,DAFNE,MUJER,204,,,315,DYLAN ALEJANDRO,HOMBRE,274
316,CELESTE,MUJER,203,,,316,ANGEL SEBASTIAN,HOMBRE,273
317,DAYLIN,MUJER,203,,,317,YAIR,HOMBRE,273
318,LORENA,MUJER,203,,,318,ANDER,HOMBRE,270
319,MARIA TERESA,MUJER,203,,,319,JOSE GABRIEL,HOMBRE,270
320,CARMEN,MUJER,201,,,320,WILLIAM,HOMBRE,270
321,JUDITH,MUJER,201,,,321,CARLOS DAVID,HOMBRE,268
322,NATALIA GUADALUPE,MUJER,201,,,322,RIGOBERTO,HOMBRE,267
323,CAMILA YAMILETH,MUJER,200,,,323,ANGEL LEONARDO,HOMBRE,265
324,CATALEYA,MUJER,198,,,324,ERICK DANIEL,HOMBRE,265
325,GALILEA,MUJER,198,,,325,RODOLFO,HOMBRE,264
326,MARIA DEL ROSARIO,MUJER,198,,,326,AXEL URIEL,HOMBRE,263
327,MAITE,MUJER,197,,,327,LIAM DANIEL,HOMBRE,263
328,MARIA RENATA,MUJER,197,,,328,LUIS GAEL,HOMBRE,263
329,NICOL,MUJER,197,,,329,LUIS TADEO,HOMBRE,263
330,RENATA VALENTINA,MUJER,197,,,330,ANGEL EMMANUEL,HOMBRE,260
331,ROSALINDA,MUJER,197,,,331,IKER TADEO,HOMBRE,260
332,DAMARIS,MUJER,196,,,332,JULIO,HOMBRE,256
333,LUISA,MUJER,196,,,333,IAN EDUARDO,HOMBRE,255
334,AMAIA,MUJER,195,,,334,LIAM TADEO,HOMBRE,255
335,KARLA GUADALUPE,MUJER,195,,,335,TOMAS,HOMBRE,255
336,NANCY,MUJER,195,,,336,JORGE ALBERTO,HOMBRE,252
337,ARELI,MUJER,194,,,337,JUAN FRANCISCO,HOMBRE,252
338,EVELYN GUADALUPE,MUJER,194,,,338,ANGEL IVAN,HOMBRE,250
339,ALEXA YAMILETH,MUJER,193,,,339,MATTEO,HOMBRE,250
340,ANA LUISA,MUJER,193,,,340,ANGEL EMILIANO,HOMBRE,249
341,AINHOA,MUJER,192,,,341,AXEL SANTIAGO,HOMBRE,249
342,HANNIA,MUJER,192,,,342,HUMBERTO,HOMBRE,249
343,KATIA,MUJER,192,,,343,JOSE MATIAS,HOMBRE,249
344,ESTRELLA GUADALUPE,MUJER,191,,,344,ANGEL ADRIAN,HOMBRE,248
345,MARIA EMILIA,MUJER,190,,,345,ALAN GAEL,HOMBRE,247
346,ANA REGINA,MUJER,189,,,346,LORENZO,HOMBRE,247
347,NATHALY,MUJER,189,,,347,ADOLFO,HOMBRE,246
348,ANGELA GUADALUPE,MUJER,188,,,348,DYLAN ALEXIS,HOMBRE,246
349,ROSARIO,MUJER,188,,,349,MANUEL ALEJANDRO,HOMBRE,246
350,ALEXA NICOLE,MUJER,187,,,350,RAMIRO,HOMBRE,245
351,GLORIA,MUJER,186,,,351,EDER,HOMBRE,243
352,MEREDITH,MUJER,186,,,352,JESUS ALEXIS,HOMBRE,243
353,SHERLYN,MUJER,185,,,353,JESUS IVAN,HOMBRE,243
354,CLAUDIA,MUJER,184,,,354,JESUS ENRIQUE,HOMBRE,242
355,LEILANY,MUJER,184,,,355,SANTIAGO DE JESUS,HOMBRE,242
356,YESENIA,MUJER,184,,,356,BRAULIO,HOMBRE,240
357,ZOE GUADALUPE,MUJER,183,,,357,CARLOS GAEL,HOMBRE,240
358,ADILENE,MUJER,182,,,358,LUIS MIGUEL,HOMBRE,240
359,FRANCISCA,MUJER,182,,,359,JUAN DE DIOS,HOMBRE,239
360,PERLA,MUJER,180,,,360,ANGEL YAEL,HOMBRE,238
361,BRIANA,MUJER,179,,,361,BERNARDO,HOMBRE,237
362,JULIANA,MUJER,178,,,362,IAN EMMANUEL,HOMBRE,236
363,MELANY GUADALUPE,MUJER,177,,,363,CARLOS ADRIAN,HOMBRE,235
364,VICTORIA SOFIA,MUJER,177,,,364,ERICK SANTIAGO,HOMBRE,235
365,AITANA NICOLE,MUJER,176,,,365,MATIAS ALEXANDER,HOMBRE,235
366,LUCIA FERNANDA,MUJER,175,,,366,JESUS ANGEL,HOMBRE,234
367,RUTH,MUJER,175,,,367,JESUS GUADALUPE,HOMBRE,234
368,SOFIA NICOLE,MUJER,175,,,368,DEREK,HOMBRE,233
369,TAMARA,MUJER,175,,,369,LEO,HOMBRE,233
370,RENATA SOFIA,MUJER,174,,,370,CAMILO,HOMBRE,231
371,EMMA LUCIA,MUJER,172,,,371,IAN ALEXIS,HOMBRE,231
372,JANETH,MUJER,172,,,372,IAN DAVID,HOMBRE,231
373,MANUELA,MUJER,172,,,373,JOSE DAMIAN,HOMBRE,231
374,MIA ALEJANDRA,MUJER,172,,,374,LIAM JESUS,HOMBRE,231
375,ALEXA FERNANDA,MUJER,171,,,375,RAMON,HOMBRE,231
376,ARIADNE,MUJER,171,,,376,AXEL GABRIEL,HOMBRE,230
377,CARLA,MUJER,171,,,377,CARLOS DAMIAN,HOMBRE,229
378,ARLETTE,MUJER,170,,,378,IKER ALEJANDRO,HOMBRE,229
379,JOSEFINA,MUJER,170,,,379,ANGEL ALEJANDRO,HOMBRE,228
380,MAGALY,MUJER,170,,,380,MATEO EMILIANO,HOMBRE,228
381,NAOMI GUADALUPE,MUJER,169,,,381,GERMAN,HOMBRE,226
382,NICOLE GUADALUPE,MUJER,169,,,382,LUIS CARLOS,HOMBRE,225
383,DALIA,MUJER,168,,,383,AXEL TADEO,HOMBRE,224
384,MIA ELIZABETH,MUJER,168,,,384,LUIS ALEXANDER,HOMBRE,224
385,MIA YAMILETH,MUJER,168,,,385,MATEO NICOLAS,HOMBRE,224
386,SOFIA ABIGAIL,MUJER,168,,,386,IAN YAEL,HOMBRE,223
387,SOFIA FERNANDA,MUJER,168,,,387,IKER JESUS,HOMBRE,223
388,ARISBETH,MUJER,167,,,388,ERICK ALEXANDER,HOMBRE,221
389,IVANNA SOFIA,MUJER,167,,,389,JOAN,HOMBRE,221
390,SOFIA LEILANY,MUJER,167,,,390,ALAN DANIEL,HOMBRE,220
391,AMAYRANI,MUJER,166,,,391,JOSE ENRIQUE,HOMBRE,220
392,DANIELA SOFIA,MUJER,166,,,392,LUCIANO,HOMBRE,220
393,DALEYZA,MUJER,165,,,393,DIEGO GAEL,HOMBRE,219
394,MARIA ELIZABETH,MUJER,165,,,394,DYLAN EDUARDO,HOMBRE,219
395,XIMENA SOFIA,MUJER,165,,,395,ELEAZAR,HOMBRE,219
396,BEATRIZ,MUJER,164,,,396,TADEO DE JESUS,HOMBRE,219
397,LIA RENATA,MUJER,164,,,397,LEON,HOMBRE,218
398,PALOMA,MUJER,164,,,398,MATIAS EMILIANO,HOMBRE,218
399,ANA CAMILA,MUJER,162,,,399,LUCA,HOMBRE,217
400,ELIZA,MUJER,162,,,400,NATANAEL,HOMBRE,217
401,AILYN,MUJER,161,,,401,SANTIAGO DANIEL,HOMBRE,216
402,ANA CRISTINA,MUJER,161,,,402,ANGEL ALEXIS,HOMBRE,215
403,DAYANA GUADALUPE,MUJER,161,,,403,LUIS MARIO,HOMBRE,215
404,MADISON,MUJER,161,,,404,DAMIAN ALEJANDRO,HOMBRE,214
405,MICAELA,MUJER,161,,,405,IRVING,HOMBRE,214
406,VICTORIA VALENTINA,MUJER,161,,,406,JESUS SEBASTIAN,HOMBRE,214
407,ALISSON GUADALUPE,MUJER,160,,,407,JOSE ROBERTO,HOMBRE,214
408,ANA BRENDA,MUJER,160,,,408,JOSE MARTIN,HOMBRE,213
409,ANA GUADALUPE,MUJER,160,,,409,LEONARDO GAEL,HOMBRE,213
410,MARIA DE LOS ANGELES,MUJER,160,,,410,ANGEL ALBERTO,HOMBRE,212
411,ALICE,MUJER,159,,,411,JOSE ANDRES,HOMBRE,212
412,EDITH,MUJER,159,,,412,CARLOS TADEO,HOMBRE,211
413,EMILY VALENTINA,MUJER,159,,,413,DANILO,HOMBRE,211
414,LIA ROMINA,MUJER,159,,,414,JUAN MATEO,HOMBRE,211
415,ANAYELI,MUJER,158,,,415,LUIS ARMANDO,HOMBRE,211
416,MARICRUZ,MUJER,158,,,416,CARLOS IVAN,HOMBRE,210
417,MAGDALENA,MUJER,157,,,417,MATEO SEBASTIAN,HOMBRE,210
418,ROSA ISELA,MUJER,157,,,418,SANTIAGO ALEXANDER,HOMBRE,210
419,SAMANTHA GUADALUPE,MUJER,155,,,419,ALAN JESUS,HOMBRE,209
420,ALEJANDRA GUADALUPE,MUJER,154,,,420,PABLO EMILIO,HOMBRE,208
421,ALEXA MICHELLE,MUJER,153,,,421,RENE,HOMBRE,208
422,ROBERTA,MUJER,153,,,422,DIEGO ANTONIO,HOMBRE,207
423,SILVIA,MUJER,153,,,423,CARLOS ALEJANDRO,HOMBRE,205
424,MARLENE,MUJER,152,,,424,LUIS ADRIAN,HOMBRE,205
425,VIRIDIANA,MUJER,152,,,425,ANGEL FERNANDO,HOMBRE,204
426,CAMILA VICTORIA,MUJER,151,,,426,ANGEL ZAID,HOMBRE,204
427,DANNA GUADALUPE,MUJER,151,,,427,VICTOR HUGO,HOMBRE,204
428,GRISELDA,MUJER,151,,,428,DIEGO ALONSO,HOMBRE,202
429,MAYRA,MUJER,151,,,429,IAN SEBASTIAN,HOMBRE,202
430,ANGELA VICTORIA,MUJER,150,,,430,MIGUEL ALEJANDRO,HOMBRE,202
431,ARLET,MUJER,150,,,431,ROLANDO,HOMBRE,201
432,ROCIO,MUJER,150,,,432,JORGE ANTONIO,HOMBRE,200
433,VICTORIA ELIZABETH,MUJER,149,,,433,ALAN SANTIAGO,HOMBRE,199
434,LIA NICOLE,MUJER,148,,,434,AXEL JESUS,HOMBRE,199
435,SAMANTA,MUJER,148,,,435,SANTIAGO ALEJANDRO,HOMBRE,199
436,BELINDA,MUJER,145,,,436,SANTIAGO EMMANUEL,HOMBRE,199
437,ALISON GUADALUPE,MUJER,144,,,437,ANGEL RAFAEL,HOMBRE,198
438,AMBAR,MUJER,144,,,438,CRISTIAN GAEL,HOMBRE,198
439,GEORGINA,MUJER,144,,,439,ANGEL ISAAC,HOMBRE,197
440,MARIANA GUADALUPE,MUJER,144,,,440,DILAN GAEL,HOMBRE,196
441,SOFIA ESMERALDA,MUJER,144,,,441,JESUS FERNANDO,HOMBRE,196
442,SOFIA MICHELLE,MUJER,144,,,442,JESUS ALFREDO,HOMBRE,193
443,AITANA YAMILETH,MUJER,143,,,443,JORGE ALEJANDRO,HOMBRE,192
444,ARIANNA,MUJER,142,,,444,ANGEL SAID,HOMBRE,191
445,CAMILA NICOLE,MUJER,142,,,445,DIEGO ALBERTO,HOMBRE,191
446,GENESIS GUADALUPE,MUJER,142,,,446,JERONIMO,HOMBRE,191
447,SARA SOFIA,MUJER,142,,,447,LIAM SEBASTIAN,HOMBRE,191
448,IRENE,MUJER,141,,,448,NATHAN,HOMBRE,191
449,ANA FERNANDA,MUJER,140,,,449,JESUS ABRAHAM,HOMBRE,190
450,ASTRID,MUJER,140,,,450,DYLAN ANTONIO,HOMBRE,189
451,JOSELIN,MUJER,140,,,451,JORDAN,HOMBRE,189
452,QUETZALLI,MUJER,140,,,452,JAVIER ALEJANDRO,HOMBRE,188
453,ANA GABRIELA,MUJER,139,,,453,JESUS DAMIAN,HOMBRE,188
454,JOCELYN,MUJER,139,,,454,JOSE RICARDO,HOMBRE,188
455,KENIA GUADALUPE,MUJER,139,,,455,LIAM DAVID,HOMBRE,188
456,INGRID,MUJER,138,,,456,LIAM EDUARDO,HOMBRE,188
457,REGINA ISABELLA,MUJER,138,,,457,LUIS FELIPE,HOMBRE,188
458,REGINA SOFIA,MUJER,138,,,458,AXEL EDUARDO,HOMBRE,187
459,SOFIA ISABEL,MUJER,138,,,459,DAVID ALEXANDER,HOMBRE,187
460,YANELI,MUJER,138,,,460,GABRIEL ALEJANDRO,HOMBRE,187
461,BRIANNA,MUJER,137,,,461,IAN EMILIANO,HOMBRE,187
462,JOSELYN,MUJER,137,,,462,JESUS MIGUEL,HOMBRE,186
463,LIA REGINA,MUJER,137,,,463,GADIEL,HOMBRE,185
464,MIA RENATA,MUJER,137,,,464,HERNAN,HOMBRE,183
465,DANNA MICHELLE,MUJER,136,,,465,JESUS EMANUEL,HOMBRE,183
466,EVELYN SOFIA,MUJER,136,,,466,LIAM EMMANUEL,HOMBRE,182
467,VICTORIA ISABELLA,MUJER,135,,,467,LIAN,HOMBRE,182
468,VIRGINIA,MUJER,135,,,468,BRYAN,HOMBRE,181
469,ALLISON GUADALUPE,MUJER,134,,,469,IKER ANTONIO,HOMBRE,181
470,MARIA MAGDALENA,MUJER,134,,,470,IVAN ALEJANDRO,HOMBRE,181
471,MARICELA,MUJER,134,,,471,JUAN ALBERTO,HOMBRE,181
472,REYNA,MUJER,134,,,472,LOGAN,HOMBRE,181
473,ESTEFANI,MUJER,133,,,473,ALAN TADEO,HOMBRE,180
474,LIDIA,MUJER,133,,,474,CRISTIAN DANIEL,HOMBRE,180
475,MILA,MUJER,133,,,475,ELIAN GAEL,HOMBRE,180
476,SOFIA VALERIA,MUJER,133,,,476,JESUS ARMANDO,HOMBRE,180
477,VICTORIA ALEJANDRA,MUJER,133,,,477,DYLAN DANIEL,HOMBRE,179
478,AMALIA,MUJER,132,,,478,HENRY,HOMBRE,179
479,AZUL,MUJER,132,,,479,TADEO ALEXANDER,HOMBRE,179
480,CYNTHIA,MUJER,132,,,480,CARLOS ENRIQUE,HOMBRE,178
481,EMMA ISABELLA,MUJER,132,,,481,ERICK MATEO,HOMBRE,178
482,LUCIA GUADALUPE,MUJER,131,,,482,VICTOR DANIEL,HOMBRE,177
483,ANA ISABEL,MUJER,130,,,483,DIEGO EMILIANO,HOMBRE,176
484,ROMINA ISABELLA,MUJER,130,,,484,FRANCISCO GAEL,HOMBRE,176
485,ALESSA,MUJER,129,,,485,JOSE ELIAS,HOMBRE,176
486,ANDREA VALENTINA,MUJER,129,,,486,JOSE JAVIER,HOMBRE,176
487,ANNA VICTORIA,MUJER,129,,,487,LUIS GABRIEL,HOMBRE,176
488,GENESIS SOFIA,MUJER,129,,,488,ANGEL YAHIR,HOMBRE,175
489,JOHANNA,MUJER,129,,,489,CARLOS GABRIEL,HOMBRE,174
490,MAILEN,MUJER,129,,,490,FELIX,HOMBRE,174
491,MICHELLE GUADALUPE,MUJER,129,,,491,ISIDRO,HOMBRE,174
492,STEPHANIE,MUJER,128,,,492,LEANDRO,HOMBRE,174
493,AITANA ISABELLA,MUJER,127,,,493,OSCAR DANIEL,HOMBRE,174
494,DIANA LAURA,MUJER,127,,,494,ALDAIR,HOMBRE,173
495,ALEXA VICTORIA,MUJER,126,,,495,IAN FERNANDO,HOMBRE,173
496,CAMILA ALEJANDRA,MUJER,126,,,496,JESUS MATIAS,HOMBRE,173
497,ISABELLA GUADALUPE,MUJER,126,,,497,LUCIO,HOMBRE,173
498,SAORI,MUJER,126,,,498,JOSE ARTURO,HOMBRE,172
499,ANGELES,MUJER,125,,,499,IAN GABRIEL,HOMBRE,171
500,ARANZA GUADALUPE,MUJER,125,,,500,JOSE RODRIGO,HOMBRE,171
501,IRINA,MUJER,125,,,501,LUIS EMILIANO,HOMBRE,171
,,,,,,,,,
,,,,,,,,,
Fuente: INEGI 2020.,,,,,,,,,
https://cuentame.inegi.org.mx/poblacion/natalidad/Nombres_mas_populares_2020.csv,,,,,,,,,
